| #  | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|89  | Ken (ญี่ปุ่น) | ช่างทดสอบแรงผ้า | ตรวจความทนผ้าพิธี | 32 | ชาย | ผมสั้น | ดำ | เหลือง | 5'8" | ผอม | เสื้อทดสอบ | - | พิถีพิถัน, ใจเย็น | Yomi-no-Miyako |
|90  | Isabella (ละติน) | เจ้าของแผงจารึก | ขายแผ่นจารึกและป้าย | 37 | หญิง | ผมลอนยาว | น้ำตาลแดง | ขาว | 5'4" | หุ่นดี | ชุดพ่อค้าศิลป์ | Medium | สร้างสรรค์, ขยัน | Yomi-no-Miyako |
|91  | Hyeon (เกาหลี) | หัวหน้าทีมวิจัยพิธี | ศูนย์ศึกษาโบราณพิธีกรรม | 57 | ชาย | ผมสั้นเรียบ | ดำ | เหลือง | 5'9" | ผอม | เสื้อวิชาการ | - | เงียบขรึม, มีวิสัยทัศน์ | Yomi-no-Miyako |
|92  | Olga (รัสเซีย) | พนักงานคลังหมุด | ดูแลหมุดและป้ายระบุหน้าศพ | 42 | หญิง | ผมห่อมวย | บลอนด์หม่น | ขาว | 5'4" | ผอม | เสื้อคลัง | Medium | รอบคอบ, ขยัน | Yomi-no-Miyako |
|93  | Yuri (รัสเซีย) | ผู้บันทึกบัญชีพิธี | บันทึกรายรับ-รายจ่ายงานพิธี | 57 | ชาย | ผมหงอกเรียบ | เทา | ขาว | 5'10" | ผอม | เสื้อสำนักงานบัญชี | - | แม่นยำ, เคร่งครัด | Yomi-no-Miyako |
|94  | Lin (จีน) | เด็กเสิร์ฟตลาดกลาง | แผงอาหารพิธี | 18 | หญิง | ผมเปียคู่ | ดำ | เหลือง | 5'1" | Tiny | ชุดเสิร์ฟตลาด | Tiny | ร่าเริง, ว่องไว | Yomi-no-Miyako |
|95  | Marco (อิตาลี) | ช่างทำแท่นบูชา | ผลิตแท่นบูชาพกพา | 36 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'8" | ผอม | เสื้อช่างไม้ | - | ใส่ใจ, มืออาชีพ | Yomi-no-Miyako |
|96  | Mei Chen (จีน) | ผู้จัดการคลังยา | คลังยารักษาและปลอบโยน | 49 | หญิง | ผมห่อมวย | ดำ | เหลือง | 5'3" | อวบ | เสื้อแล็บพิธี | Large | รอบคอบ, ใจดี | Yomi-no-Miyako |
|97  | Helena (กรีก) | นักวิเคราะห์พิธี | ให้คำปรึกษาด้านคติการทำพิธี | 50 | หญิง | ผมหยักบ่า | น้ำตาลทอง | ขาว | 5'6" | หุ่นดี | เสื้อที่ปรึกษาพิธี | Large | รอบรู้, สุภาพ | Yomi-no-Miyako |
|98  | Kenji (ญี่ปุ่น) | ช่างทดสอบโครงไม้ | ตรวจความแข็งแรงโครงรัง | 30 | ชาย | ผมสั้น | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างไม้ | - | พิถีพิถัน, รับผิดชอบ | Yomi-no-Miyako |
|99  | Armand (ฝรั่งเศส/ละติน) | นักเขียนบันทึก | จดบันทึกประเพณีและคำสวด | 63 | ชาย | ผมขาวบาง | เงิน | ขาว | 5'9" | ผอม | เสื้อบรรณารักษ์ | - | ใฝ่รู้, อ่อนโยน | Yomi-no-Miyako |
|100 | Linh (เวียดนาม/แฟนตาซี) | ผู้ดูแลสวนจิต | ปลูกพืชถวายและดูแลสวนใจ | 27 | หญิง | ผมบันต่ำ | น้ำตาลดำ | เหลือง | 5'2" | ผอม | ชุดชาวสวนพิธี | Small | ใจดี, อดทน | Yomi-no-Miyako |
