| #  | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
| 91 | Hyeon (เกาหลี) | ผู้ดูแลสำนักสอดแนมลม | บันทึกกระแสลมและเส้นทางบิน | 57 | ชาย | ผมสั้นเรียบ | ดำ | เหลือง | 5'9" | ผอม | เสื้อสำนักงาน | - | เงียบขรึม, มีวิสัยทัศน์ | The Great Roost |
| 92 | Olga Zhukova (รัสเซีย) | ช่างเก็บข้อมูลการผสมพันธุ์ | บันทึกคู่ผสมและผลผลิต | 46 | หญิง | ผมห่อมวย | บลอนด์หม่น | ขาว | 5'4" | ผอม | เสื้อแล็บบันทึก | Medium | แม่นยำ, ถนัดตัวเลข | The Great Roost |
| 93 | Yuri Kazakov (รัสเซีย) | พนักงานสิทธิ์การค้า | ดูแลใบอนุญาตส่งออกขน | 39 | ชาย | ผมปัดข้าง | เทา | ขาว | 5'10" | ผอม | เสื้อสำนักงานการค้า | - | เป็นกลาง, ตรงไปตรงมา | The Great Roost |
| 94 | Alessandra (ละติน/อิตาลี) | ช่างสร้างโมบายรัง | ทำโมบายและประดับรัง | 31 | หญิง | ผมบ๊อบ | น้ำตาลทอง | ขาว | 5'5" | ผอม | เสื้อศิลป์หัตถกรรม | Small | สร้างสรรค์, ขยัน | The Great Roost |
| 95 | Dae-Wook (เกาหลี) | คนขับรถลำเลียงตลาด | ขนส่งสินค้า Roost Market | 34 | ชาย | ผมสั้น | ดำ | เหลือง | 5'11" | มีกล้ามเล็กน้อย | เสื้อขับรถ | - | ขยัน, รวดเร็ว | The Great Roost |
| 96 | Mireille Laurent (ฝรั่งเศส) | ผู้จัดการคลังแล็บ | คลังยารักษานกและอุปกรณ์ | 48 | หญิง | ผมหยิกสั้น | บลอนด์ | ขาว | 5'6" | หุ่นดี | เสื้อแล็บสะอาด | Medium | รอบคอบ, มีตรรกะ | The Great Roost |
| 97 | Tomasz Kowalski (โปแลนด์) | ช่างทดสอบแรงดึง | ทดสอบสายและฮาร์เนส | 42 | ชาย | ผมสั้น | เทา | ขาว | 5'10" | มีกล้ามเล็กน้อย | เสื้อทดสอบ | - | พิถีพิถัน, มืออาชีพ | The Great Roost |
| 98 | Nara (ญี่ปุ่น) | พนักงานคัดแยกเสียงร้อง | วิเคราะห์เสียงนกเพื่อจัดหมวด | 26 | หญิง | ผมบ๊อบสั้น | ดำ | เหลือง | 5'2" | ผอม | ชุดแล็บเสียง | Small | ใจเย็น, มีสมาธิ | The Great Roost |
| 99 | Fabian Cruz (ละติน/สเปน) | นักประเมินมูลค่ารัง | ให้คำปรึกษาราคาอสังหารัง | 50 | ชาย | หนวดบาง | ดำ | ผิวแทน | 5'9" | ผอม | เสื้อสูทประเมิน | - | เจรจาเก่ง, รอบคอบ | The Great Roost |
|100 | Lin (จีน) | เด็กเสิร์ฟแผงกลางตลาด | แผงอาหารกลาง Roost Market | 18 | หญิง | ผมเปียคู่ | ดำ | เหลือง | 5'1" | Tiny | ชุดเสิร์ฟตลาด | Tiny | ร่าเริง, ว่องไว | The Great Roost |
