| # | ชื่อ | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
|90 | มาริน่า ไพรด์ | เจ้าของบ้านแสดงศิลป์เคลื่อนที่ | Caravan ศิลปะเคลื่อนที่ | 45 | หญิง | ผมม้วนยาว | ม่วงหม่น | ขาวมุก | 5'6" | หุ่นดี | ชุดแสดงเคลื่อนที่ | Medium | ช่างจัด, กล้าเสี่ยง | Luminara |
|91 | สเตลล่า อิม | พนักงานสำรองเวที Bazaar | Stage Crew Moonpetal | 23 | หญิง | ผมบ๊อบเท่ | น้ำตาลแดง | ขาว | 5'2" | ผอม | เสื้อทีมเวที | Small | ว่องไว, ทะเยอทะยาน | Luminara |
|92 | การิน ทอ | พ่อค้าขายเครื่องหนังอาร์ต | แผง Bazaar ใกล้สะพาน | 38 | ชาย | ผมสั้นเรียบ | ดำ | ผิวแทน | 5'9" | หุ่นดี | เสื้อพ่อค้าเครื่องหนัง | - | จริงใจ, ฝีมือดี | Luminara |
|93 | เอลล่า ฟอน | นักบำบัดด้วยแสง | คลินิกแสงจันทร์เมือง | 66 | หญิง | ผมขาวยาว | ขาวมุก | ขาวซีด | 5'5" | อวบ | ชุดบำบัด | Large | ใจดี, มุ่งหวังรักษา | Luminara |
|94 | โนอาห์ แกล | พนักงานจัดเก็บเสียงบันทึก | สำนักบันทึกพิธี | 35 | ชาย | ผมเปียปลาย | น้ำตาลเข้ม | ผิวอ่อน | 5'10" | ผอม | ชุดพนักงานบันทึก | - | รอบคอบ, สุภาพ | Luminara |
|95 | ไซรา เวล | พนักงานคอยดูแลการประมูลกลางคืน | Workforce Auction Block (กลางคืน) | 29 | หญิง | ผมยาวลอน | น้ำเงินเข้ม | ขาวมุก | 5'5" | ผอม | ชุดกลางคืนพิธี | Medium | สุภาพ, ปกป้องลูกค้า | Luminara |
|96 | เบลล่า อาร์ | เจ้าของร้านเครื่องดนตรีสายวิเศษ | ร้านแยกเฉพาะ | 37 | หญิง | ผมหางม้าสูง | เงินมุก | ขาวมุก | 5'6" | หุ่นดี | ชุดพ่อค้าเครื่องดนตรี | Medium | หลงใหลเสียง, ใจกว้าง | Luminara |
|97 | ครอส ทัล | พนักงานเทคนิคเวทศิลป์ | ทีมเทคนิคแกลเลอรี่ | 41 | ชาย | ผมเกรียน | เทา | ผิวอ่อน | 5'11" | หุ่นดี | ชุดช่างเทคนิค | - | ระมัดระวัง, เชี่ยวชาญ | Luminara |
|98 | มาร์เร็ต ไว | ผู้จัดการหอพักนักเดินทางศิลป์ | Guesthouse ใกล้ Bazaar | 52 | หญิง | ผมห่อมวยต่ำ | น้ำตาลเข้ม | ขาวมุก | 5'5" | อวบ | ชุดเจ้าของที่พัก | Large | ใจดี, คอยช่วยเหลือ | Luminara |
|99 | เอนด์รา ฟลอ | ผู้ชำนาญพิธีกรรมภาพสะท้อน | สำนักพิธี Moonmirror Lake | 75 | ชาย | ผมขาวยาว | เงินเงา | ขาวมุก | 5'8" | ผอม | เสื้อพิธีกรรม | - | เฉียบคม, มีภูมิปัญญา | Luminara |
|100| ลูซา โรม | เด็กเสิร์ฟแผงกลางคืน | แผงอาหาร Moonpetal Bazaar | 18 | หญิง | ผมเปียคู่ | น้ำตาลอ่อน | ผิวขาว | 5'1" | ผอม | ชุดเสิร์ฟกลางคืน | Tiny | ร่าเริง, ว่องไว | Luminara |
