| #  | ชื่อ (เชื้อชาติ/สไตล์) | อาชีพ | ตำแหน่ง | อายุ | เพศ | ทรงผม | สีผม | สีผิว | ส่วนสูง | รูปร่าง | เครื่องแต่งกาย | ขนาดหน้าอก | ลักษณะนิสัย | เมืองที่พบได้ |
| 89 | Asha (แฟนตาซี/อินเดียสไตล์) | พนักงานอาหารทหาร | ฝ่ายเตรียมอาหารกองทัพ | 35 | หญิง | ผมห่มมวย | ดำ | น้ำตาลอ่อน | 5'3" | อวบ | ชุดทำครัว | Large | อดทน, ใจดี | Judicator's Rise |
| 90 | Tomasz (โปแลนด์/ยุโรป) | ช่างชั่งมวล | ควบคุมอุปกรณ์ตาชั่งกลาง Plaza | 52 | ชาย | ผมปัดข้าง | เทาเข้ม | ขาว | 5'10" | ผอม | เสื้อช่าง | - | แม่นยำ, ใส่ใจทุกรายละเอียด | Judicator's Rise |
| 91 | Yuna (เกาหลี) | ผู้ดูแลหอพักทหาร | ดูแลที่พัก Mesa Terrace ชั้นกลาง | 30 | หญิง | ผมหางม้า | ดำ | เหลือง | 5'3" | ผอม | ชุดผู้จัดหอพัก | Small | มีระเบียบ, เอื้อเฟื้อ | Judicator's Rise |
| 92 | Elias (กรีก) | พนักงานป้ายคำสั่ง | ผลิตและติดป้ายประกาศในเมือง | 33 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'9" | ผอม | เสื้อช่างป้าย | - | กระตือรือร้น, ตรงเวลา | Judicator's Rise |
| 93 | Marina (รัสเซีย) | เด็กเสิร์ฟ Guesthouse | โรงแรม Mesa Terrace | 21 | หญิง | ผมหางม้าเตี้ย | บลอนด์หม่น | ขาว | 5'2" | Tiny | ชุดเสิร์ฟเรียบ | Tiny | ร่าเริง, สุภาพ | Judicator's Rise |
| 94 | Rohan (อินเดีย/แฟนตาซี) | พ่อค้านําเข้าไม้ | ตัวแทนนำเข้าไม้เพื่อก่อสร้าง | 43 | ชาย | ผมยาวมัด | ดำ | น้ำตาลอ่อน | 5'10" | ผอม | เสื้อพ่อค้าเดินทาง | - | เจรจาดี, มีสายส่ง | Judicator's Rise |
| 95 | Helga (นอร์ดิก) | ช่างประณีต | ผลิตชิ้นตกแต่งหินสำหรับ Pillars | 59 | หญิง | ผมห่อมวย | ขาว | ขาว | 4'11" | อวบ | ชุดช่างประณีต | Large | ขรึม, ใส่ใจรายละเอียด | Judicator's Rise |
| 96 | Kenzo (ญี่ปุ่น) | เจ้าหน้าที่แก้ปัญหาเครื่องจักร | ทีม emergency Forge | 36 | ชาย | ผมเกรียน | ดำ | เหลือง | 5'8" | มีกล้ามเล็กน้อย | เสื้อช่างฉุกเฉิน | - | รวดเร็ว, คล่องแคล่ว | Judicator's Rise |
| 97 | Olga (รัสเซีย) | พนักงานคลังตำรา | เก็บตำราและเอกสารราชการ | 42 | หญิง | ผมห่อมวย | บลอนด์หม่น | ขาว | 5'4" | ผอม | ชุดคลังเอกสาร | Medium | รอบคอบ, ขยัน | Judicator's Rise |
| 98 | Matteo (ละติน) | เด็กส่งเอกสาร | ส่งจดหมายให้ขุนนาง/ศาล | 19 | ชาย | ผมยุ่ง | น้ำตาลเข้ม | ขาว | 5'7" | ผอม | เสื้อส่งเอกสาร | - | ว่องไว, กระตือรือร้น | Judicator's Rise |
| 99 | Lianhua (จีน) | เจ้าของร้านเครื่องมือก่อสร้าง | ขายอุปกรณ์ก่อสร้างสำหรับรัฐ | 51 | หญิง | ผมห่อมวย | ดำ | เหลือง | 5'3" | อวบ | เสื้อพ่อค้าช่าง | Large | จริงจัง, ธุรกิจเน้นงาน | Judicator's Rise |
|100 | Remus (โรมัน) | ผู้ดูแล Stellabond Quest Board (สาขาท้องถิ่น) | รับ-แจ้งภารกิจ (non-combat coordinator) | 37 | ชาย | ผมปัดข้าง | น้ำตาลเข้ม | ขาว | 5'10" | ผอม | ชุดเจ้าหน้าที่ข้อมูล | - | รอบรู้ข่าวสาร, เปิดกว้าง | Judicator's Rise |
